beginning log /sd/2021_1_1_0_0.txt
1:32:46	45.1875	18.4375
1:33:16	45.0625	18.4375
1:33:46	45.0	18.4375
1:34:16	44.875	18.4375
1:34:47	44.75	18.4375
1:35:17	44.6875	18.4375
1:35:47	44.625	18.4375
1:36:17	44.5	18.4375
1:36:48	44.4375	18.4375
1:37:18	44.3125	18.4375
1:37:48	44.25	18.4375
1:38:18	44.125	18.4375
1:38:49	44.0	18.4375
1:39:19	43.9375	18.4375
1:39:49	43.875	18.4375
1:40:19	43.75	18.4375
1:40:50	43.625	18.4375
1:41:20	43.5625	18.4375
1:41:50	43.5	18.375
1:42:20	43.375	18.375
1:42:51	43.25	18.375
1:43:21	43.1875	18.375
1:43:51	43.125	18.375
1:44:21	43.0	18.375
1:44:52	42.9375	18.375
1:45:22	42.8125	18.375
1:45:52	42.75	18.375
1:46:22	42.625	18.375
